加工顺序,中心X,中心Y,compressor,频率,线间距,次数,速度,脉宽_fs
40,-3.9,11.6,43800,100,0.006,5,5,1000
41,-3.9,12.2,43800,100,0.008,5,3,1000
42,-3.9,12.8,43800,100,0.01,3,9,1000
43,-3.9,13.4,43800,100,0.01,5,11,1000
44,-3.9,14,43800,200,0.006,3,5,1000
45,-3.9,14.6,43800,200,0.006,3,7,1000
46,-3.9,15.2,43800,200,0.008,4,11,1000
47,-3.9,15.8,43800,200,0.01,3,9,1000
48,-3.9,16.4,43800,200,0.01,5,11,1000
49,-4.5,16.4,58400,2,0.006,2,9,2000
50,-4.5,15.8,58400,2,0.006,2,9,2000
51,-4.5,15.2,58400,2,0.01,3,9,2000
52,-4.5,14.6,58400,10,0.002,2,5,2000
53,-4.5,14,58400,10,0.002,2,9,2000
54,-4.5,13.4,58400,10,0.002,3,5,2000
55,-4.5,12.8,58400,10,0.01,4,5,2000
56,-4.5,12.2,58400,50,0.004,2,5,2000
57,-4.5,11.6,58400,50,0.004,3,9,2000
58,-4.5,11,58400,50,0.006,3,9,2000
59,-4.5,10.4,58400,50,0.006,4,3,2000
60,-4.5,9.8,58400,50,0.01,1,5,2000
61,-4.5,9.2,58400,100,0.004,2,11,2000
62,-4.5,8.6,58400,100,0.004,5,9,2000
63,-4.5,8,58400,100,0.006,4,5,2000
64,-4.5,7.4,58400,100,0.008,2,5,2000
65,-4.5,6.8,58400,100,0.008,2,11,2000
66,-4.5,6.2,58400,200,0.002,1,5,2000
67,-4.5,5.6,58400,200,0.002,3,5,2000
68,-4.5,5,58400,200,0.002,5,11,2000
69,-4.5,4.4,58400,200,0.004,1,7,2000
70,-4.5,3.8,58400,200,0.004,4,9,2000
71,-4.5,3.2,58400,200,0.01,2,3,2000
72,-4.5,2.6,58400,200,0.01,5,3,2000
73,-5.1,2.6,87300,2,0.002,5,5,4000
74,-5.1,3.2,87300,2,0.002,5,11,4000
75,-5.1,3.8,87300,2,0.006,1,5,4000
76,-5.1,4.4,87300,2,0.006,3,3,4000
77,-5.1,5,87300,10,0.002,2,7,4000
78,-5.1,5.6,87300,10,0.008,1,7,4000
79,-5.1,6.2,87300,10,0.01,2,7,4000
80,-5.1,6.8,87300,50,0.002,4,3,4000
81,-5.1,7.4,87300,50,0.002,4,5,4000
82,-5.1,8,87300,50,0.004,2,7,4000
83,-5.1,8.6,87300,50,0.004,3,3,4000
84,-5.1,9.2,87300,50,0.004,5,9,4000
85,-5.1,9.8,87300,50,0.006,1,11,4000
86,-5.1,10.4,87300,50,0.01,1,5,4000
87,-5.1,11,87300,50,0.01,4,5,4000
88,-5.1,11.6,87300,100,0.008,1,11,4000
89,-5.1,12.2,87300,100,0.008,3,11,4000
90,-5.1,12.8,87300,200,0.004,2,3,4000
91,-5.1,13.4,87300,200,0.004,3,9,4000
92,-5.1,14,87300,200,0.006,1,7,4000
93,-5.1,14.6,87300,200,0.008,2,5,4000
94,-5.1,15.2,87300,200,0.008,4,3,4000
95,-5.1,15.8,87300,200,0.01,4,7,4000
96,-5.1,16.4,87300,200,0.01,5,7,4000
97,-5.7,16.4,116200,2,0.002,4,3,6000
98,-5.7,15.8,116200,2,0.004,2,3,6000
99,-5.7,15.2,116200,2,0.006,1,5,6000
100,-5.7,14.6,116200,2,0.006,1,7,6000
101,-5.7,14,116200,2,0.006,4,7,6000
102,-5.7,13.4,116200,2,0.008,3,9,6000
103,-5.7,12.8,116200,2,0.008,5,11,6000
104,-5.7,12.2,116200,10,0.002,4,7,6000
105,-5.7,11.6,116200,10,0.002,5,3,6000
106,-5.7,11,116200,10,0.004,1,5,6000
107,-5.7,10.4,116200,10,0.008,1,7,6000
108,-5.7,9.8,116200,10,0.008,3,7,6000
109,-5.7,9.2,116200,10,0.01,1,7,6000
110,-5.7,8.6,116200,50,0.004,4,9,6000
111,-5.7,8,116200,50,0.006,3,5,6000
112,-5.7,7.4,116200,50,0.01,2,11,6000
113,-5.7,6.8,116200,100,0.002,2,11,6000
114,-5.7,6.2,116200,100,0.002,4,9,6000
115,-5.7,5.6,116200,100,0.002,5,5,6000
116,-5.7,5,116200,100,0.008,4,5,6000
117,-5.7,4.4,116200,100,0.01,1,9,6000
118,-5.7,3.8,116200,200,0.002,1,3,6000
119,-5.7,3.2,116200,200,0.004,3,9,6000
120,-5.7,2.6,116200,200,0.006,5,3,6000
