curve_id,kind,x,linear,pchip
sic_threshold_vs_effective_n,interpolated,231.08,0.8814374816393188,0.8257291337600642
sic_threshold_vs_effective_n,interpolated,234.675,0.8801033899229962,0.8234181417146065
sic_threshold_vs_effective_n,interpolated,238.27,0.8787692982066735,0.8211345851388339
sic_threshold_vs_effective_n,interpolated,241.865,0.8774352064903509,0.8188783096799537
sic_threshold_vs_effective_n,interpolated,245.46,0.8761011147740283,0.8166491609851736
sic_threshold_vs_effective_n,interpolated,249.055,0.8747670230577057,0.8144469847017005
sic_threshold_vs_effective_n,interpolated,252.65,0.873432931341383,0.8122716264767423
sic_threshold_vs_effective_n,interpolated,256.245,0.8720988396250604,0.8101229319575063
sic_threshold_vs_effective_n,interpolated,259.84000000000003,0.8707647479087378,0.8080007467911999
sic_threshold_vs_effective_n,interpolated,263.435,0.8694306561924151,0.8059049166250306
