sample_id,pulse_duration_fs,repetition_rate_kHz,hatch_spacing_um,scan_speed_mm_s,pass_count,mean_depth_um,source_row,summary_monotonic,source_file,observation_definition
zr-pass-036,223.0,5.0,10.0,20.0,4,5.99,37,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-027,4000.0,10.0,10.0,20.0,1,6.03,28,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-026,4000.0,10.0,10.0,20.0,2,6.5,27,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-025,4000.0,10.0,10.0,20.0,3,8.92,26,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-028,4000.0,10.0,10.0,20.0,4,11.76,29,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-008,4000.0,20.0,2.0,15.0,1,15.83,9,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-006,4000.0,20.0,2.0,15.0,2,23.86,7,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-007,4000.0,20.0,2.0,15.0,3,28.76,8,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-005,4000.0,20.0,2.0,15.0,4,32.19,6,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-054,4000.0,5.0,8.0,10.0,1,7.32,55,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-055,4000.0,5.0,8.0,10.0,2,5.5,56,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-056,4000.0,5.0,8.0,10.0,3,4.98,57,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-053,4000.0,5.0,8.0,10.0,4,6.68,54,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-021,500.0,10.0,8.0,5.0,1,7.38,22,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-022,500.0,10.0,8.0,5.0,2,13.64,23,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
