加工顺序,X1,Y1,X2,Y2,线间距,compressor,频率,次数,速度,脉宽_fs
61,-4.0,-21.6,-3.8,-21.6,1,58400,2,3,10,2000
62,-4.0,-21.9,-3.8,-21.9,1,58400,5,5,10,2000
63,-4.0,-22.2,-3.8,-22.2,1,116200,20,1,10,6000
64,-4.0,-22.5,-3.8,-22.5,1,36140,2,3,20,500
65,-4.0,-22.8,-3.8,-22.8,1,43800,10,2,1,1000
66,-4.0,-23.1,-3.8,-23.1,1,43800,5,3,1,1000
67,-4.0,-23.4,-3.8,-23.4,1,43800,50,5,10,1000
68,-4.0,-23.7,-3.8,-23.7,1,116200,5,5,20,6000
69,-4.0,-24.0,-3.8,-24.0,1,58400,10,1,10,2000
70,-4.0,-24.3,-3.8,-24.3,1,116200,10,3,15,6000
71,-4.0,-24.6,-3.8,-24.6,1,36140,20,1,5,500
72,-4.0,-24.9,-3.8,-24.9,1,87300,50,3,5,4000
73,-4.3,-24.9,-4.1,-24.9,1,87300,2,1,15,4000
74,-4.3,-24.6,-4.1,-24.6,1,116200,10,2,5,6000
75,-4.3,-24.3,-4.1,-24.3,1,36140,5,1,15,500
76,-4.3,-24.0,-4.1,-24.0,1,58400,10,2,10,2000
77,-4.3,-23.7,-4.1,-23.7,1,36140,2,3,5,500
78,-4.3,-23.4,-4.1,-23.4,1,58400,10,5,10,2000
79,-4.3,-23.1,-4.1,-23.1,1,43800,5,2,1,1000
80,-4.3,-22.8,-4.1,-22.8,1,36140,2,2,20,500
81,-4.3,-22.5,-4.1,-22.5,1,36140,50,4,5,500
82,-4.3,-22.2,-4.1,-22.2,1,43800,2,5,20,1000
83,-4.3,-21.9,-4.1,-21.9,1,43800,20,5,10,1000
84,-4.3,-21.6,-4.1,-21.6,1,87300,2,2,15,4000
85,-4.3,-21.3,-4.1,-21.3,1,36140,20,5,1,500
86,-4.3,-21.0,-4.1,-21.0,1,58400,5,2,15,2000
87,-4.3,-20.7,-4.1,-20.7,1,58400,20,2,20,2000
88,-4.3,-20.4,-4.1,-20.4,1,116200,20,3,20,6000
89,-4.3,-20.1,-4.1,-20.1,1,58400,50,2,20,2000
90,-4.3,-19.8,-4.1,-19.8,1,87300,10,4,1,4000
91,-4.3,-19.5,-4.1,-19.5,1,116200,10,3,20,6000
92,-4.3,-19.2,-4.1,-19.2,1,36140,50,3,15,500
93,-4.3,-18.9,-4.1,-18.9,1,87300,20,3,1,4000
94,-4.3,-18.6,-4.1,-18.6,1,58400,50,3,20,2000
95,-4.3,-18.3,-4.1,-18.3,1,116200,2,2,1,6000
96,-4.3,-18.0,-4.1,-18.0,1,43800,20,5,5,1000
97,-4.6,-18.0,-4.4,-18.0,1,43800,50,4,10,1000
98,-4.6,-18.3,-4.4,-18.3,1,58400,5,5,15,2000
99,-4.6,-18.6,-4.4,-18.6,1,58400,2,4,1,2000
100,-4.6,-18.9,-4.4,-18.9,1,87300,5,2,15,4000
101,-4.6,-19.2,-4.4,-19.2,1,36140,50,5,5,500
102,-4.6,-19.5,-4.4,-19.5,1,116200,20,1,1,6000
103,-4.6,-19.8,-4.4,-19.8,1,58400,50,4,5,2000
104,-4.6,-20.1,-4.4,-20.1,1,87300,10,3,10,4000
105,-4.6,-20.4,-4.4,-20.4,1,36140,5,5,15,500
106,-4.6,-20.7,-4.4,-20.7,1,116200,50,4,15,6000
107,-4.6,-21.0,-4.4,-21.0,1,58400,50,2,5,2000
108,-4.6,-21.3,-4.4,-21.3,1,43800,5,3,5,1000
109,-4.6,-21.6,-4.4,-21.6,1,87300,2,1,1,4000
110,-4.6,-21.9,-4.4,-21.9,1,116200,20,2,5,6000
111,-4.6,-22.2,-4.4,-22.2,1,58400,10,1,15,2000
112,-4.6,-22.5,-4.4,-22.5,1,43800,5,1,20,1000
113,-4.6,-22.8,-4.4,-22.8,1,87300,50,5,10,4000
114,-4.6,-23.1,-4.4,-23.1,1,43800,2,2,5,1000
115,-4.6,-23.4,-4.4,-23.4,1,58400,10,2,1,2000
116,-4.6,-23.7,-4.4,-23.7,1,36140,20,2,20,500
117,-4.6,-24.0,-4.4,-24.0,1,116200,2,2,10,6000
118,-4.6,-24.3,-4.4,-24.3,1,43800,2,3,20,1000
119,-4.6,-24.6,-4.4,-24.6,1,43800,20,4,15,1000
120,-4.6,-24.9,-4.4,-24.9,1,87300,50,3,1,4000
