加工顺序,X坐标(mm),Y坐标(mm),compressor,频率,间距,次数,速度,脉宽_fs
50,-3.6,0.0,58400,2,0.006,3,0.7,2000
51,-4.0,0.0,58400,2,0.01,4,0.7,2000
52,-4.0,0.4,58400,10,0.002,3,0.3,2000
53,-4.0,0.8,58400,10,0.002,3,0.7,2000
54,-4.0,1.2,58400,10,0.002,4,0.3,2000
55,-4.0,1.6,58400,10,0.01,5,0.3,2000
56,-4.4,1.6,58400,50,0.004,3,0.3,2000
57,-4.4,1.2,58400,50,0.004,4,0.7,2000
58,-4.4,0.8,58400,50,0.006,4,0.7,2000
59,-4.4,0.4,58400,50,0.006,5,0.1,2000
60,-4.4,0.0,58400,50,0.01,2,0.3,2000
61,-4.8,0.0,58400,100,0.004,3,1.0,2000
62,-4.8,0.4,58400,100,0.004,6,0.7,2000
63,-4.8,0.8,58400,100,0.006,5,0.3,2000
64,-4.8,1.2,58400,100,0.008,3,0.3,2000
65,-4.8,1.6,58400,100,0.008,3,1.0,2000
66,-5.2,1.6,58400,200,0.002,2,0.3,2000
67,-5.2,1.2,58400,200,0.002,4,0.3,2000
68,-5.2,0.8,58400,200,0.002,6,1.0,2000
69,-5.2,0.4,58400,200,0.004,2,0.5,2000
70,-5.2,0.0,58400,200,0.004,5,0.7,2000
71,-5.6,0.0,58400,200,0.01,3,0.1,2000
72,-5.6,0.4,58400,200,0.01,6,0.1,2000
73,-5.6,0.8,87300,2,0.002,6,0.3,4000
74,-5.6,1.2,87300,2,0.002,6,1.0,4000
75,-5.6,1.6,87300,2,0.006,2,0.3,4000
76,-6.0,1.6,87300,2,0.006,4,0.1,4000
77,-6.0,1.2,87300,10,0.002,3,0.5,4000
78,-6.0,0.8,87300,10,0.008,2,0.5,4000
79,-6.0,0.4,87300,10,0.01,3,0.5,4000
80,-6.0,0.0,87300,50,0.002,5,0.1,4000
81,-6.4,0.0,87300,50,0.002,5,0.3,4000
82,-6.4,0.4,87300,50,0.004,3,0.5,4000
83,-6.4,0.8,87300,50,0.004,4,0.1,4000
84,-6.4,1.2,87300,50,0.004,6,0.7,4000
85,-6.4,1.6,87300,50,0.006,2,1.0,4000
86,-6.8,1.6,87300,50,0.01,2,0.3,4000
87,-6.8,1.2,87300,50,0.01,5,0.3,4000
88,-6.8,0.8,87300,100,0.008,2,1.0,4000
89,-6.8,0.4,87300,100,0.008,4,1.0,4000
90,-6.8,0.0,87300,200,0.004,3,0.1,4000
91,-7.2,0.0,87300,200,0.004,4,0.7,4000
92,-7.2,0.4,87300,200,0.006,2,0.5,4000
93,-7.2,0.8,87300,200,0.008,3,0.3,4000
94,-7.2,1.2,87300,200,0.008,5,0.1,4000
95,-7.2,1.6,87300,200,0.01,5,0.5,4000
96,-7.6,1.6,87300,200,0.01,6,0.5,4000
97,-7.6,1.2,116200,2,0.002,5,0.1,6000
98,-7.6,0.8,116200,2,0.004,3,0.1,6000
99,-7.6,0.4,116200,2,0.006,2,0.3,6000
100,-7.6,0.0,116200,2,0.006,2,0.5,6000
101,-8.0,0.0,116200,2,0.006,5,0.5,6000
102,-8.0,0.4,116200,2,0.008,4,0.7,6000
103,-8.0,0.8,116200,2,0.008,6,1.0,6000
104,-8.0,1.2,116200,10,0.002,5,0.5,6000
105,-8.0,1.6,116200,10,0.002,6,0.1,6000
106,-8.4,1.6,116200,10,0.004,2,0.3,6000
107,-8.4,1.2,116200,10,0.008,2,0.5,6000
108,-8.4,0.8,116200,10,0.008,4,0.5,6000
109,-8.4,0.4,116200,10,0.01,2,0.5,6000
110,-8.4,0.0,116200,50,0.004,5,0.7,6000
111,-8.8,0.0,116200,50,0.006,4,0.3,6000
112,-8.8,0.4,116200,50,0.01,3,1.0,6000
113,-8.8,0.8,116200,100,0.002,3,1.0,6000
114,-8.8,1.2,116200,100,0.002,5,0.7,6000
115,-8.8,1.6,116200,100,0.002,6,0.3,6000
116,-9.2,1.6,116200,100,0.008,5,0.3,6000
117,-9.2,1.2,116200,100,0.01,2,0.7,6000
118,-9.2,0.8,116200,200,0.002,2,0.1,6000
119,-9.2,0.4,116200,200,0.004,4,0.7,6000
120,-9.2,0.0,116200,200,0.006,6,0.1,6000
