试验号,compressor,重复频率,扫描速度,,,,,compressor,重复频率,扫描速度,间距,,,,,脉宽_fs
38,58400,2,0.05,,,,,,,,,,,,,2000
110,58400,2,0.5,,,,,,,,,,,,,2000
115,58400,2,0.8,,,,,,,,,,,,,2000
29,58400,10,0.3,,,,,,,,,,,,,2000
58,58400,10,0.1,,,,,,,,,,,,,2000
72,58400,10,1,,,,,,,,,,,,,2000
101,58400,10,0.8,,,,,,,,,,,,,2000
14,58400,20,0.5,,,,,,,,,,,,,2000
73,58400,20,1,,,,,,,,,,,,,2000
82,58400,20,0.05,,,,,,,,,,,,,2000
93,58400,20,0.1,,,,,,,,,,,,,2000
118,58400,20,0.2,,,,,,,,,,,,,2000
55,58400,100,0.1,最后一条,,,,,,,,,,,,2000
71,,,,,,58400,100,0.05,,,,,,,,
86,,,,,,58400,100,0.3,,,,,,,,
102,,,,,,58400,100,0.8,,,,,,,,
103,,,,,,58400,100,0.1,,,,,,,,
31,,,,,,58400,200,1,,,,,,,,
62,,,,,,58400,200,0.5,,,,,,,,
64,,,,,,58400,200,0.1,,,,,,,,
67,,,,,,58400,200,0.2,,,,,,,,
89,,,,,,58400,200,0.3,,,,,,,,
5,,,,,,87300,2,0.3,,,,,,,,
6,,,,,,87300,2,0.1,,,,,,,,
20,,,,,,87300,2,1,,,,,,,,
30,,,,,,87300,2,0.05,,,,,,,,
106,,,,,,87300,2,0.8,,,,,,,,
13,,,,,,87300,10,0.5,,,,,,,,
21,,,,,,87300,10,1,,,,,,,,
25,,,,,,87300,10,0.1,,,,,,,,
76,,,,,,87300,10,0.2,,,,,,,,
107,,,,,,87300,10,0.05,,,,,,,,
33,,,,,,87300,20,0.2,,,,,,,,
36,,,,,,87300,20,0.8,,,,,,,,
49,,,,,,87300,20,0.05,,,,,,,,
88,,,,,,87300,20,0.3,,,,,,,,
2,,,,,,87300,100,0.3,,,,,,,,
27,,,,,,87300,100,1,,,,,,,,
56,,,,,,87300,100,0.8,,,,,,,,
81,,,,,,87300,100,0.5,,,,,,,,
120,,,,,,87300,100,0.1,,,,,,,,
22,,,,,,87300,200,1,,,,,,,,
37,,,,,,87300,200,0.5,,,,,,,,
46,,,,,,87300,200,0.05,,,,,,,,
47,,,,,,87300,200,0.2,,,,,,,,
48,,,,,,87300,200,0.8,,,,,,,,
8,,,,,,116200,2,0.5,,,,,,,,
65,,,,,,116200,2,1,,,,,,,,
83,,,,,,116200,2,0.2,,,,,,,,
98,,,,,,116200,2,0.1,,,,,,,,
119,,,,,,116200,2,0.3,,,,,,,,
3,,,,,,116200,10,0.5,,,,,,,,
50,,,,,,116200,10,0.2,,,,,,,,
51,,,,,,116200,10,0.05,,,,,,,,
105,,,,,,116200,10,0.8,,,,,,,,
109,,,,,,116200,10,0.3,,,,,,,,
7,,,,,,116200,20,0.5,,,,,,,,
10,,,,,,116200,20,0.1,,,,,,,,
16,,,,,,116200,20,1,,,,,,,,
63,,,,,,116200,20,0.3,,,,,,,,
74,,,,,,116200,20,0.8,,,,,,,,
9,,,,,,116200,100,1,,,,,,,,
54,,,,,,116200,100,0.05,,,,,,,,
59,,,,,,116200,100,0.2,,,,,,,,
104,,,,,,116200,100,0.5,,,,,,,,
26,,,,,,116200,200,0.8,,,,,,,,
32,,,,,,116200,200,0.1,,,,,,,,
87,,,,,,116200,200,0.05,,,,,,,,
108,,,,,,116200,200,0.3,,,,,,,,
114,,,,,,116200,200,0.2,,,,,,,,
