section,axis,coord,depth,height
y=0,x,-1.2,0.03311693436878637,-0.03311693436878637
y=0,x,-1.0999999999999999,0.1273508031063594,-0.1273508031063594
y=0,x,-0.9999999999999999,0.260467737475146,-0.260467737475146
y=0,x,-0.8999999999999999,0.430701606212719,-0.430701606212719
y=0,x,-0.7999999999999999,0.6158185405815054,-0.6158185405815054
y=0,x,-0.7,0.8140524093190782,-0.8140524093190782
y=0,x,-0.6,0.9185501035088619,-0.9185501035088619
y=0,x,-0.49999999999999994,0.898148580081963,-0.898148580081963
y=0,x,-0.39999999999999997,0.862088672648129,-0.862088672648129
y=0,x,-0.3,0.8075671214885323,-0.8075671214885323
y=0,x,-0.19999999999999998,0.7288541951175521,-0.7288541951175521
y=0,x,-0.09999999999999999,0.6121633768242103,-0.6121633768242103
y=0,x,0.0,0.3978709203075398,-0.3978709203075398
y=0,x,0.09999999999999999,3.7295816800265,-3.7295816800265
y=0,x,0.19999999999999998,3.7033120895702365,-3.7033120895702365
y=0,x,0.3,3.65736026556863,-3.65736026556863
y=0,x,0.39999999999999997,3.5858878785592583,-3.5858878785592583
y=0,x,0.49999999999999994,3.47357424481856,-3.47357424481856
y=0,x,0.6,3.22910041777149,-3.22910041777149
y=0,x,0.7,6.52,-6.52
y=0,x,0.7999999999999999,1.931785056007155,-1.931785056007155
y=0,x,0.8999999999999999,1.489775650770118,-1.489775650770118
y=0,x,0.9999999999999999,1.8325423216581254,-1.8325423216581254
y=0,x,1.0999999999999999,1.566921597371319,-1.566921597371319
y=0,x,1.2,1.3417500906720135,-1.3417500906720135
y=0,x,1.2999999999999998,0.7558915003160893,-0.7558915003160893
y=0,x,1.4,0.6951025485496907,-0.6951025485496907
y=0,x,1.4999999999999998,0.3600000000000009,-0.3600000000000009
y=0,x,1.5999999999999999,0.1900000000000001,-0.1900000000000001
y=0,x,1.7,0.0,0.0
y=0,x,1.7999999999999998,0.0,0.0
y=0,x,1.9,0.0,0.0
y=0,x,1.9999999999999998,0.0,0.0
y=0,x,2.0999999999999996,0.0,0.0
y=0,x,2.1999999999999997,0.0,0.0
y=0,x,2.3,0.0,0.0
y=0,x,2.4,0.0,0.0
y=0,x,2.5,0.0,0.0
y=0,x,2.5999999999999996,0.0,0.0
y=0,x,2.6999999999999997,0.0,0.0
y=0,x,2.8,0.0,0.0
y=0,x,2.9,0.0,0.0
y=0,x,2.9999999999999996,0.0,0.0
y=0,x,3.0999999999999996,0.0,0.0
y=0,x,3.1999999999999997,0.0,0.0
y=0,x,3.3,0.0,0.0
y=0,x,3.4,0.0,0.0
y=0,x,3.4999999999999996,0.0,0.0
y=0,x,3.5999999999999996,0.0,0.0
y=0,x,3.6999999999999997,0.0,0.0
y=0,x,3.8,0.0,0.0
y=0,x,3.8999999999999995,0.0,0.0
y=0,x,3.9999999999999996,0.0,0.0
y=0,x,4.1,0.0,0.0
y=0,x,4.199999999999999,0.0,0.0
y=0,x,4.3,0.0,0.0
y=0,x,4.3999999999999995,0.0,0.0
y=0,x,4.5,0.0,0.0
y=0,x,4.6,0.0,0.0
y=0,x,4.699999999999999,0.0,0.0
y=0,x,4.8,0.0,0.0
y=0,x,4.8999999999999995,0.0,0.0
y=0,x,5.0,0.0,0.0
y=0,x,5.1,0.0,0.0
y=0,x,5.199999999999999,0.0,0.0
y=0,x,5.3,0.0,0.0
y=0,x,5.3999999999999995,0.0,0.0
y=0,x,5.499999999999999,0.0,0.0
y=0,x,5.6,0.0,0.0
y=0,x,5.699999999999999,0.0,0.0
y=0,x,5.8,0.0,0.0
y=0,x,5.8999999999999995,0.0,0.0
y=0,x,5.999999999999999,0.0,0.0
y=0,x,6.1,0.0,0.0
y=0,x,6.199999999999999,0.0,0.0
y=0,x,6.3,0.0,0.0
y=0,x,6.3999999999999995,0.0,0.0
y=0,x,6.499999999999999,0.0,0.0
y=0,x,6.6,0.0,0.0
y=0,x,6.699999999999999,0.0,0.0
y=0,x,6.8,0.0,0.0
y=0,x,6.8999999999999995,0.0,0.0
y=0,x,6.999999999999999,0.0,0.0
y=0,x,7.1,0.0,0.0
y=0,x,7.199999999999999,0.0,0.0
y=0,x,7.3,0.0,0.0
y=0,x,7.3999999999999995,0.0,0.0
y=0,x,7.499999999999999,0.0,0.0
y=0,x,7.6,0.0,0.0
y=0,x,7.699999999999999,0.0,0.0
y=0,x,7.799999999999999,0.0,0.0
y=0,x,7.8999999999999995,0.0,0.0
y=0,x,7.999999999999999,0.0,0.0
