section,axis,coord,depth,height
y=0,x,3.7e-05,3.060000000000094e-07,-3.060000000000094e-07
y=0,x,3.7999999999999995e-05,2.1600000000001101e-07,-2.1600000000001101e-07
y=0,x,3.9e-05,1.1400000000001198e-07,-1.1400000000001198e-07
y=0,x,3.9999999999999996e-05,1.6031620475585974e-20,-1.6031620475585974e-20
y=0,x,4.1e-05,0.0,0.0
y=0,x,4.2e-05,0.0,0.0
y=0,x,4.2999999999999995e-05,0.0,0.0
y=0,x,4.4e-05,0.0,0.0
y=0,x,4.4999999999999996e-05,0.0,0.0
y=0,x,4.6e-05,0.0,0.0
y=0,x,4.7e-05,0.0,0.0
y=0,x,4.8e-05,0.0,0.0
y=0,x,4.9e-05,0.0,0.0
y=0,x,4.9999999999999996e-05,0.0,0.0
y=0,x,5.1e-05,0.0,0.0
y=0,x,5.2e-05,0.0,0.0
y=0,x,5.3e-05,0.0,0.0
y=0,x,5.4e-05,0.0,0.0
y=0,x,5.4999999999999995e-05,0.0,0.0
y=0,x,5.6e-05,0.0,0.0
y=0,x,5.6999999999999996e-05,0.0,0.0
y=0,x,5.8e-05,0.0,0.0
y=0,x,5.9e-05,0.0,0.0
y=0,x,5.9999999999999995e-05,0.0,0.0
y=0,x,6.1e-05,0.0,0.0
y=0,x,6.2e-05,0.0,0.0
y=0,x,6.3e-05,0.0,0.0
y=0,x,6.4e-05,0.0,0.0
y=0,x,6.5e-05,0.0,0.0
y=0,x,6.599999999999999e-05,0.0,0.0
y=0,x,6.7e-05,0.0,0.0
y=0,x,6.8e-05,0.0,0.0
y=0,x,6.9e-05,0.0,0.0
y=0,x,7e-05,0.0,0.0
y=2e-05,x,-7e-05,0.0,0.0
y=2e-05,x,-6.9e-05,0.0,0.0
y=2e-05,x,-6.8e-05,0.0,0.0
y=2e-05,x,-6.7e-05,0.0,0.0
y=2e-05,x,-6.599999999999999e-05,0.0,0.0
y=2e-05,x,-6.5e-05,0.0,0.0
y=2e-05,x,-6.4e-05,0.0,0.0
y=2e-05,x,-6.3e-05,0.0,0.0
y=2e-05,x,-6.2e-05,0.0,0.0
y=2e-05,x,-6.1e-05,0.0,0.0
y=2e-05,x,-5.9999999999999995e-05,0.0,0.0
y=2e-05,x,-5.9e-05,0.0,0.0
y=2e-05,x,-5.8e-05,0.0,0.0
y=2e-05,x,-5.6999999999999996e-05,0.0,0.0
y=2e-05,x,-5.6e-05,0.0,0.0
y=2e-05,x,-5.4999999999999995e-05,0.0,0.0
y=2e-05,x,-5.4e-05,0.0,0.0
y=2e-05,x,-5.3e-05,0.0,0.0
y=2e-05,x,-5.2e-05,0.0,0.0
y=2e-05,x,-5.1e-05,0.0,0.0
y=2e-05,x,-4.9999999999999996e-05,0.0,0.0
y=2e-05,x,-4.9e-05,0.0,0.0
y=2e-05,x,-4.8e-05,0.0,0.0
y=2e-05,x,-4.7e-05,0.0,0.0
y=2e-05,x,-4.6e-05,0.0,0.0
y=2e-05,x,-4.4999999999999996e-05,0.0,0.0
y=2e-05,x,-4.4e-05,0.0,0.0
y=2e-05,x,-4.2999999999999995e-05,0.0,0.0
y=2e-05,x,-4.2e-05,0.0,0.0
y=2e-05,x,-4.1e-05,0.0,0.0
y=2e-05,x,-3.9999999999999996e-05,0.0,0.0
y=2e-05,x,-3.9e-05,0.0,0.0
y=2e-05,x,-3.7999999999999995e-05,0.0,0.0
y=2e-05,x,-3.7e-05,0.0,0.0
y=2e-05,x,-3.6e-05,0.0,0.0
y=2e-05,x,-3.5e-05,0.0,0.0
y=2e-05,x,-3.4e-05,0.0,0.0
y=2e-05,x,-3.2999999999999996e-05,0.0,0.0
y=2e-05,x,-3.2e-05,0.0,0.0
y=2e-05,x,-3.1e-05,0.0,0.0
y=2e-05,x,-2.9999999999999997e-05,2.340350135909674e-20,-2.340350135909674e-20
y=2e-05,x,-2.9e-05,1.140000000000178e-07,-1.140000000000178e-07
y=2e-05,x,-2.8e-05,2.1600000000001586e-07,-2.1600000000001586e-07
y=2e-05,x,-2.7e-05,3.0600000000001394e-07,-3.0600000000001394e-07
y=2e-05,x,-2.6e-05,3.84000000000012e-07,-3.84000000000012e-07
y=2e-05,x,-2.4999999999999998e-05,4.5000000000001e-07,-4.5000000000001e-07
y=2e-05,x,-2.4e-05,5.040000000000079e-07,-5.040000000000079e-07
y=2e-05,x,-2.3e-05,5.460000000000059e-07,-5.460000000000059e-07
y=2e-05,x,-2.2e-05,5.760000000000039e-07,-5.760000000000039e-07
y=2e-05,x,-2.1e-05,5.940000000000019e-07,-5.940000000000019e-07
y=2e-05,x,-1.9999999999999998e-05,6.000000000000211e-07,-6.000000000000211e-07
y=2e-05,x,-1.8999999999999998e-05,7.080000000000134e-07,-7.080000000000134e-07
y=2e-05,x,-1.8e-05,7.920000000000095e-07,-7.920000000000095e-07
y=2e-05,x,-1.7e-05,8.520000000000058e-07,-8.520000000000058e-07
y=2e-05,x,-1.6e-05,8.880000000000021e-07,-8.880000000000021e-07
y=2e-05,x,-1.4999999999999999e-05,8.999999999999985e-07,-8.999999999999985e-07
y=2e-05,x,-1.4e-05,8.879999999999948e-07,-8.879999999999948e-07
y=2e-05,x,-1.3e-05,8.51999999999991e-07,-8.51999999999991e-07
y=2e-05,x,-1.2e-05,7.919999999999874e-07,-7.919999999999874e-07
y=2e-05,x,-1.1e-05,7.079999999999838e-07,-7.079999999999838e-07
y=2e-05,x,-9.999999999999999e-06,6.000000000000304e-07,-6.000000000000304e-07
y=2e-05,x,-9e-06,7.080000000000198e-07,-7.080000000000198e-07
y=2e-05,x,-8e-06,7.920000000000158e-07,-7.920000000000158e-07
y=2e-05,x,-7e-06,8.520000000000117e-07,-8.520000000000117e-07
y=2e-05,x,-6e-06,8.880000000000075e-07,-8.880000000000075e-07
y=2e-05,x,-4.9999999999999996e-06,9.000000000000033e-07,-9.000000000000033e-07
y=2e-05,x,-4e-06,8.879999999999993e-07,-8.879999999999993e-07
y=2e-05,x,-3e-06,8.519999999999953e-07,-8.519999999999953e-07
y=2e-05,x,-2e-06,7.919999999999911e-07,-7.919999999999911e-07
y=2e-05,x,-1e-06,7.07999999999987e-07,-7.07999999999987e-07
y=2e-05,x,0.0,6.000000000000288e-07,-6.000000000000288e-07
y=2e-05,x,1e-06,7.080000000000166e-07,-7.080000000000166e-07
y=2e-05,x,2e-06,7.920000000000119e-07,-7.920000000000119e-07
y=2e-05,x,3e-06,8.520000000000075e-07,-8.520000000000075e-07
y=2e-05,x,4e-06,8.88000000000003e-07,-8.88000000000003e-07
y=2e-05,x,4.9999999999999996e-06,8.999999999999986e-07,-8.999999999999986e-07
