加工顺序,X1,Y1,X2,Y2,线间距,compressor,频率,次数,速度,脉宽_fs
31,-10.5,-18.0,-10.3,-18.0,1,43800,20,5,200,1000
32,-10.5,-17.7,-10.3,-17.7,1,43800,20,4,175,1000
33,-10.5,-17.4,-10.3,-17.4,1,43800,5,1,100,1000
34,-10.5,-17.1,-10.3,-17.1,1,29400,40,2,125,223
35,-10.5,-16.8,-10.3,-16.8,1,29400,2,4,175,223
36,-10.5,-16.5,-10.3,-16.5,1,58400,40,1,150,2000
37,-10.5,-16.2,-10.3,-16.2,1,58400,2,5,125,2000
38,-10.5,-15.9,-10.3,-15.9,1,58400,5,3,125,2000
39,-10.5,-15.6,-10.3,-15.6,1,29400,10,5,150,223
40,-10.5,-15.3,-10.3,-15.3,1,58400,40,2,175,2000
41,-10.5,-15.0,-10.3,-15.0,1,87300,10,3,100,4000
42,-10.5,-14.7,-10.3,-14.7,1,87300,5,1,200,4000
43,-10.5,-14.4,-10.3,-14.4,1,87300,40,4,150,4000
44,-10.5,-14.1,-10.3,-14.1,1,58400,40,1,175,2000
45,-10.5,-13.8,-10.3,-13.8,1,58400,20,5,100,2000
46,-10.5,-13.5,-10.3,-13.5,1,36140,5,3,150,500
47,-10.5,-13.2,-10.3,-13.2,1,36140,10,3,175,500
48,-10.5,-12.9,-10.3,-12.9,1,87300,10,5,100,4000
49,-10.8,-12.9,-10.6,-12.9,1,29400,2,4,125,223
50,-10.8,-13.2,-10.6,-13.2,1,58400,5,4,200,2000
51,-10.8,-13.5,-10.6,-13.5,1,87300,10,1,200,4000
52,-10.8,-13.8,-10.6,-13.8,1,29400,2,4,200,223
53,-10.8,-14.1,-10.6,-14.1,1,87300,20,2,200,4000
54,-10.8,-14.4,-10.6,-14.4,1,29400,20,1,150,223
55,-10.8,-14.7,-10.6,-14.7,1,29400,40,4,175,223
56,-10.8,-15.0,-10.6,-15.0,1,43800,40,4,150,1000
57,-10.8,-15.3,-10.6,-15.3,1,43800,40,3,125,1000
58,-10.8,-15.6,-10.6,-15.6,1,58400,5,4,100,2000
59,-10.8,-15.9,-10.6,-15.9,1,43800,10,5,100,1000
60,-10.8,-16.2,-10.6,-16.2,1,36140,2,1,175,500
61,-10.8,-16.5,-10.6,-16.5,1,43800,2,3,150,1000
62,-10.8,-16.8,-10.6,-16.8,1,43800,5,5,150,1000
63,-10.8,-17.1,-10.6,-17.1,1,87300,20,1,150,4000
64,-10.8,-17.4,-10.6,-17.4,1,29400,2,3,200,223
65,-10.8,-17.7,-10.6,-17.7,1,36140,10,2,100,500
66,-10.8,-18.0,-10.6,-18.0,1,36140,5,3,100,500
67,-10.8,-18.3,-10.6,-18.3,1,36140,40,5,150,500
68,-10.8,-18.6,-10.6,-18.6,1,87300,5,5,200,4000
69,-10.8,-18.9,-10.6,-18.9,1,43800,10,1,150,1000
70,-10.8,-19.2,-10.6,-19.2,1,87300,10,3,175,4000
71,-10.8,-19.5,-10.6,-19.5,1,29400,20,1,125,223
72,-10.8,-19.8,-10.6,-19.8,1,58400,40,3,125,2000
73,-11.1,-19.8,-10.9,-19.8,1,58400,2,1,175,2000
74,-11.1,-19.5,-10.9,-19.5,1,87300,10,2,125,4000
75,-11.1,-19.2,-10.9,-19.2,1,29400,5,1,175,223
76,-11.1,-18.9,-10.9,-18.9,1,43800,10,2,150,1000
77,-11.1,-18.6,-10.9,-18.6,1,29400,2,3,125,223
78,-11.1,-18.3,-10.9,-18.3,1,43800,10,5,150,1000
79,-11.1,-18.0,-10.9,-18.0,1,36140,5,2,100,500
80,-11.1,-17.7,-10.9,-17.7,1,29400,2,2,200,223
81,-11.1,-17.4,-10.9,-17.4,1,29400,40,4,125,223
82,-11.1,-17.1,-10.9,-17.1,1,36140,2,5,200,500
83,-11.1,-16.8,-10.9,-16.8,1,36140,20,5,150,500
84,-11.1,-16.5,-10.9,-16.5,1,58400,2,2,175,2000
85,-11.1,-16.2,-10.9,-16.2,1,29400,20,5,100,223
86,-11.1,-15.9,-10.9,-15.9,1,43800,5,2,175,1000
87,-11.1,-15.6,-10.9,-15.6,1,43800,20,2,200,1000
88,-11.1,-15.3,-10.9,-15.3,1,87300,20,3,200,4000
89,-11.1,-15.0,-10.9,-15.0,1,43800,40,2,200,1000
90,-11.1,-14.7,-10.9,-14.7,1,58400,10,4,100,2000
91,-11.1,-14.4,-10.9,-14.4,1,87300,10,3,200,4000
92,-11.1,-14.1,-10.9,-14.1,1,29400,40,3,175,223
93,-11.1,-13.8,-10.9,-13.8,1,58400,20,3,100,2000
94,-11.1,-13.5,-10.9,-13.5,1,43800,40,3,200,1000
95,-11.1,-13.2,-10.9,-13.2,1,87300,2,2,100,4000
96,-11.1,-12.9,-10.9,-12.9,1,36140,20,5,125,500
97,-11.4,-12.9,-11.2,-12.9,1,36140,40,4,150,500
98,-11.4,-13.2,-11.2,-13.2,1,43800,5,5,175,1000
99,-11.4,-13.5,-11.2,-13.5,1,43800,2,4,100,1000
100,-11.4,-13.8,-11.2,-13.8,1,58400,5,2,175,2000
101,-11.4,-14.1,-11.2,-14.1,1,29400,40,5,125,223
102,-11.4,-14.4,-11.2,-14.4,1,87300,20,1,100,4000
103,-11.4,-14.7,-11.2,-14.7,1,43800,40,4,125,1000
104,-11.4,-15.0,-11.2,-15.0,1,58400,10,3,150,2000
105,-11.4,-15.3,-11.2,-15.3,1,29400,5,5,175,223
106,-11.4,-15.6,-11.2,-15.6,1,87300,40,4,175,4000
107,-11.4,-15.9,-11.2,-15.9,1,43800,40,2,125,1000
108,-11.4,-16.2,-11.2,-16.2,1,36140,5,3,125,500
109,-11.4,-16.5,-11.2,-16.5,1,58400,2,1,100,2000
110,-11.4,-16.8,-11.2,-16.8,1,87300,20,2,125,4000
111,-11.4,-17.1,-11.2,-17.1,1,43800,10,1,175,1000
112,-11.4,-17.4,-11.2,-17.4,1,36140,5,1,200,500
113,-11.4,-17.7,-11.2,-17.7,1,58400,40,5,150,2000
114,-11.4,-18.0,-11.2,-18.0,1,36140,2,2,125,500
115,-11.4,-18.3,-11.2,-18.3,1,43800,10,2,100,1000
116,-11.4,-18.6,-11.2,-18.6,1,29400,20,2,200,223
117,-11.4,-18.9,-11.2,-18.9,1,87300,2,2,150,4000
118,-11.4,-19.2,-11.2,-19.2,1,36140,2,3,200,500
119,-11.4,-19.5,-11.2,-19.5,1,36140,20,4,175,500
120,-11.4,-19.8,-11.2,-19.8,1,58400,40,3,100,2000
