加工顺序,X1,Y1,X2,Y2,线间距,compressor,频率,次数,速度,脉宽_fs
37,-14.1,-5.8,-13.9,-5.8,1,58400,2,5,20,2000
38,-14.1,-5.6,-13.9,-5.6,1,58400,5,3,20,2000
39,-14.1,-5.4,-13.9,-5.4,1,29400,10,5,30,223
40,-14.1,-5.2,-13.9,-5.2,1,58400,40,2,40,2000
41,-14.1,-5.0,-13.9,-5.0,1,87300,10,3,10,4000
42,-14.1,-4.8,-13.9,-4.8,1,87300,5,1,50,4000
43,-14.1,-4.6,-13.9,-4.6,1,87300,40,4,30,4000
44,-14.1,-4.4,-13.9,-4.4,1,58400,40,1,40,2000
45,-14.1,-4.2,-13.9,-4.2,1,58400,20,5,10,2000
46,-14.1,-4.0,-13.9,-4.0,1,36140,5,3,30,500
47,-14.1,-3.8,-13.9,-3.8,1,36140,10,3,40,500
48,-14.1,-3.6,-13.9,-3.6,1,87300,10,5,10,4000
49,-14.3,-3.6,-14.1,-3.6,1,29400,2,4,20,223
50,-14.3,-3.8,-14.1,-3.8,1,58400,5,4,50,2000
51,-14.3,-4.0,-14.1,-4.0,1,87300,10,1,50,4000
52,-14.3,-4.2,-14.1,-4.2,1,29400,2,4,50,223
53,-14.3,-4.4,-14.1,-4.4,1,87300,20,2,50,4000
54,-14.3,-4.6,-14.1,-4.6,1,29400,20,1,30,223
55,-14.3,-4.8,-14.1,-4.8,1,29400,40,4,40,223
56,-14.3,-5.0,-14.1,-5.0,1,43800,40,4,30,1000
57,-14.3,-5.2,-14.1,-5.2,1,43800,40,3,20,1000
58,-14.3,-5.4,-14.1,-5.4,1,58400,5,4,10,2000
59,-14.3,-5.6,-14.1,-5.6,1,43800,10,5,10,1000
60,-14.3,-5.8,-14.1,-5.8,1,36140,2,1,40,500
61,-14.3,-6.0,-14.1,-6.0,1,43800,2,3,30,1000
62,-14.3,-6.2,-14.1,-6.2,1,43800,5,5,30,1000
63,-14.3,-6.4,-14.1,-6.4,1,87300,20,1,30,4000
64,-14.3,-6.6,-14.1,-6.6,1,29400,2,3,50,223
65,-14.3,-6.8,-14.1,-6.8,1,36140,10,2,10,500
66,-14.3,-7.0,-14.1,-7.0,1,36140,5,3,10,500
67,-14.3,-7.2,-14.1,-7.2,1,36140,40,5,30,500
68,-14.3,-7.4,-14.1,-7.4,1,87300,5,5,50,4000
69,-14.3,-7.6,-14.1,-7.6,1,43800,10,1,30,1000
70,-14.3,-7.8,-14.1,-7.8,1,87300,10,3,40,4000
71,-14.3,-8.0,-14.1,-8.0,1,29400,20,1,20,223
72,-14.3,-8.2,-14.1,-8.2,1,58400,40,3,20,2000
73,-14.5,-8.2,-14.3,-8.2,1,58400,2,1,40,2000
74,-14.5,-8.0,-14.3,-8.0,1,87300,10,2,20,4000
75,-14.5,-7.8,-14.3,-7.8,1,29400,5,1,40,223
76,-14.5,-7.6,-14.3,-7.6,1,43800,10,2,30,1000
77,-14.5,-7.4,-14.3,-7.4,1,29400,2,3,20,223
78,-14.5,-7.2,-14.3,-7.2,1,43800,10,5,30,1000
79,-14.5,-7.0,-14.3,-7.0,1,36140,5,2,10,500
80,-14.5,-6.8,-14.3,-6.8,1,29400,2,2,50,223
81,-14.5,-6.6,-14.3,-6.6,1,29400,40,4,20,223
82,-14.5,-6.4,-14.3,-6.4,1,36140,2,5,50,500
83,-14.5,-6.2,-14.3,-6.2,1,36140,20,5,30,500
84,-14.5,-6.0,-14.3,-6.0,1,58400,2,2,40,2000
85,-14.5,-5.8,-14.3,-5.8,1,29400,20,5,10,223
86,-14.5,-5.6,-14.3,-5.6,1,43800,5,2,40,1000
87,-14.5,-5.4,-14.3,-5.4,1,43800,20,2,50,1000
88,-14.5,-5.2,-14.3,-5.2,1,87300,20,3,50,4000
89,-14.5,-5.0,-14.3,-5.0,1,43800,40,2,50,1000
90,-14.5,-4.8,-14.3,-4.8,1,58400,10,4,10,2000
91,-14.5,-4.6,-14.3,-4.6,1,87300,10,3,50,4000
92,-14.5,-4.4,-14.3,-4.4,1,29400,40,3,40,223
93,-14.5,-4.2,-14.3,-4.2,1,58400,20,3,10,2000
94,-14.5,-4.0,-14.3,-4.0,1,43800,40,3,50,1000
95,-14.5,-3.8,-14.3,-3.8,1,87300,2,2,10,4000
96,-14.5,-3.6,-14.3,-3.6,1,36140,20,5,20,500
97,-14.7,-3.6,-14.5,-3.6,1,36140,40,4,30,500
98,-14.7,-3.8,-14.5,-3.8,1,43800,5,5,40,1000
99,-14.7,-4.0,-14.5,-4.0,1,43800,2,4,10,1000
100,-14.7,-4.2,-14.5,-4.2,1,58400,5,2,40,2000
101,-14.7,-4.4,-14.5,-4.4,1,29400,40,5,20,223
102,-14.7,-4.6,-14.5,-4.6,1,87300,20,1,10,4000
103,-14.7,-4.8,-14.5,-4.8,1,43800,40,4,20,1000
104,-14.7,-5.0,-14.5,-5.0,1,58400,10,3,30,2000
105,-14.7,-5.2,-14.5,-5.2,1,29400,5,5,40,223
106,-14.7,-5.4,-14.5,-5.4,1,87300,40,4,40,4000
107,-14.7,-5.6,-14.5,-5.6,1,43800,40,2,20,1000
108,-14.7,-5.8,-14.5,-5.8,1,36140,5,3,20,500
109,-14.7,-6.0,-14.5,-6.0,1,58400,2,1,10,2000
110,-14.7,-6.2,-14.5,-6.2,1,87300,20,2,20,4000
111,-14.7,-6.4,-14.5,-6.4,1,43800,10,1,40,1000
112,-14.7,-6.6,-14.5,-6.6,1,36140,5,1,50,500
113,-14.7,-6.8,-14.5,-6.8,1,58400,40,5,30,2000
114,-14.7,-7.0,-14.5,-7.0,1,36140,2,2,20,500
115,-14.7,-7.2,-14.5,-7.2,1,43800,10,2,10,1000
116,-14.7,-7.4,-14.5,-7.4,1,29400,20,2,50,223
117,-14.7,-7.6,-14.5,-7.6,1,87300,2,2,30,4000
118,-14.7,-7.8,-14.5,-7.8,1,36140,2,3,50,500
119,-14.7,-8.0,-14.5,-8.0,1,36140,20,4,40,500
120,-14.7,-8.2,-14.5,-8.2,1,58400,40,3,10,2000
