加工顺序,中心X,中心Y,compressor,频率,线间距,次数,速度,脉宽_fs
52,-11.7,1.2,29400,5,0.008,2,40,223
53,-11.7,0.8,43800,20,0.004,4,50,1000
54,-11.7,0.4,36140,5,0.004,1,30,500
55,-11.7,0,43800,10,0.002,1,50,1000
56,-11.7,-0.4,29400,5,0.01,5,20,223
57,-11.7,-0.8,58400,2,0.01,5,40,2000
58,-11.7,-1.2,58400,10,0.01,5,20,2000
59,-11.7,-1.6,36140,20,0.004,3,40,500
60,-11.7,-2,29400,20,0.004,1,50,223
61,-11.7,-2.4,29400,10,0.006,1,40,223
62,-11.7,-2.8,87300,10,0.008,3,40,4000
63,-11.7,-3.2,58400,10,0.008,1,10,2000
64,-11.7,-3.6,36140,10,0.01,3,30,500
65,-11.7,-4,58400,5,0.004,3,30,2000
66,-11.7,-4.4,29400,20,0.002,1,10,223
67,-11.7,-4.8,36140,5,0.004,3,50,500
68,-11.7,-5.2,29400,5,0.01,4,20,223
69,-11.7,-5.6,58400,20,0.006,4,30,2000
70,-11.7,-6,58400,40,0.008,5,10,2000
71,-11.7,-6.4,36140,40,0.002,1,10,500
72,-11.7,-6.8,43800,5,0.008,4,50,1000
73,-12.1,-6.8,58400,2,0.006,3,30,2000
74,-12.1,-6.4,87300,20,0.008,2,30,4000
75,-12.1,-6,36140,2,0.008,4,30,500
76,-12.1,-5.6,58400,2,0.004,2,50,2000
77,-12.1,-5.2,87300,5,0.006,4,20,4000
78,-12.1,-4.8,43800,2,0.004,4,20,1000
79,-12.1,-4.4,29400,2,0.004,5,40,223
80,-12.1,-4,36140,40,0.004,2,20,500
81,-12.1,-3.6,43800,10,0.006,2,10,1000
82,-12.1,-3.2,36140,20,0.008,3,10,500
83,-12.1,-2.8,29400,40,0.008,1,10,223
84,-12.1,-2.4,36140,5,0.006,2,20,500
85,-12.1,-2,58400,40,0.008,4,40,2000
86,-12.1,-1.6,36140,2,0.008,4,50,500
87,-12.1,-1.2,36140,2,0.008,5,20,500
88,-12.1,-0.8,29400,2,0.002,3,30,223
89,-12.1,-0.4,43800,10,0.008,4,10,1000
90,-12.1,0,29400,20,0.006,5,40,223
91,-12.1,0.4,36140,20,0.01,1,10,500
92,-12.1,0.8,87300,40,0.002,5,50,4000
93,-12.1,1.2,43800,20,0.004,5,20,1000
94,-12.1,1.6,36140,5,0.006,5,50,500
95,-12.1,2,58400,10,0.01,3,30,2000
96,-12.1,2.4,87300,5,0.006,5,40,4000
97,-12.5,2.4,87300,10,0.002,5,40,4000
98,-12.5,2,36140,10,0.008,2,50,500
99,-12.5,1.6,29400,2,0.002,2,30,223
100,-12.5,1.2,29400,40,0.002,4,40,223
101,-12.5,0.8,58400,5,0.01,3,20,2000
102,-12.5,0.4,43800,5,0.006,1,10,1000
103,-12.5,0,29400,2,0.002,4,30,223
104,-12.5,-0.4,29400,5,0.01,5,40,223
105,-12.5,-0.8,58400,10,0.002,3,20,2000
106,-12.5,-1.2,58400,2,0.01,1,20,2000
107,-12.5,-1.6,43800,5,0.004,4,20,1000
108,-12.5,-2,87300,5,0.01,3,10,4000
109,-12.5,-2.4,43800,10,0.002,5,40,1000
110,-12.5,-2.8,87300,40,0.006,3,20,4000
111,-12.5,-3.2,43800,40,0.002,1,20,1000
112,-12.5,-3.6,87300,10,0.006,2,30,4000
113,-12.5,-4,58400,10,0.006,1,20,2000
114,-12.5,-4.4,43800,40,0.002,2,30,1000
115,-12.5,-4.8,29400,10,0.01,3,30,223
116,-12.5,-5.2,29400,2,0.006,2,10,223
117,-12.5,-5.6,87300,20,0.008,4,20,4000
118,-12.5,-6,87300,10,0.004,4,30,4000
119,-12.5,-6.4,29400,2,0.01,5,10,223
120,-12.5,-6.8,29400,40,0.01,5,30,223
