,序号,compressor,频率,间距,次数,速度,mean_depth_um,Sa_um,Sq_um,Sz_um,min_depth_um,max_depth_um,脉宽_fs
60,26,58400,5,0.002,3,15,10.661,2.169,2.546,15.011,4,19.012,2000
61,29,58400,5,0.006,5,5,10.929,1.876,2.173,12.965,4.093,17.057,2000
62,39,58400,10,0.003,3,5,18.281,1.504,1.816,11.6,13.056,24.656,2000
63,45,58400,10,0.004,5,1,44.007,1.419,1.686,12.102,39.035,51.137,2000
64,49,58400,10,0.003,4,15,15.617,1.458,1.77,12.551,9.691,22.242,2000
65,55,58400,10,0.006,2,5,9.601,1.451,1.815,13.322,3.243,16.565,2000
66,59,58400,10,0.004,4,15,13.205,2.386,2.817,17.019,4.595,21.614,2000
67,61,58400,20,0.003,3,20,20.636,1.568,2.04,15.718,13.943,29.662,2000
68,62,58400,20,0.005,3,5,21.392,1.419,1.773,14.1,13.825,27.925,2000
69,65,58400,20,0.005,3,20,15.015,1.583,1.921,13.291,9.32,22.611,2000
70,76,58400,20,0.004,5,5,35.748,1.129,1.414,9.555,29.791,39.346,2000
71,77,58400,20,0.003,6,15,33.819,1.401,1.777,10.313,29.783,40.096,2000
72,83,58400,50,0.006,3,1,63.075,1.484,1.867,10.403,58.422,68.826,2000
73,85,58400,50,0.006,6,1,67.435,1.703,2.23,16.251,59.355,75.606,2000
74,90,58400,50,0.002,6,20,59.774,2.223,2.572,11.398,55.429,66.827,2000
75,99,58400,50,0.002,4,5,58.712,2.061,2.452,12.799,54.065,66.865,2000
76,104,58400,50,0.003,2,10,28.92,1.858,2.492,15.426,25.033,40.459,2000
77,105,58400,50,0.002,2,5,40.54,1.07,1.421,10.972,36.291,47.263,2000
78,115,58400,50,0.003,5,15,58.458,1.694,2.186,15.016,52.958,67.974,2000
79,40,87300,2,0.004,2,5,3.745,1.458,1.826,12.338,-1.804,10.534,4000
80,74,87300,2,0.002,6,20,10.799,1.995,2.563,19.375,-0.955,18.42,4000
81,80,87300,2,0.002,6,5,13.436,1.815,2.262,14.014,8.807,22.821,4000
82,91,87300,2,0.004,4,1,17.853,1.105,1.407,9.804,12.09,21.894,4000
83,8,87300,5,0.002,3,10,10.183,1.902,2.251,13.38,3.007,16.387,4000
84,107,87300,5,0.005,2,10,5.033,1.394,1.758,14.575,-2.374,12.201,4000
85,113,87300,5,0.006,3,10,5.205,1.364,1.745,13.148,-0.773,12.376,4000
86,22,87300,10,0.002,5,1,46.624,3.002,3.41,14.742,39.334,54.075,4000
87,27,87300,10,0.003,4,1,43.261,1.669,2.208,16.28,33.468,49.748,4000
88,42,87300,10,0.006,2,5,8.529,1.548,1.894,13.411,1.878,15.289,4000
89,43,87300,10,0.004,2,20,7.497,1.435,1.807,11.992,3.17,15.162,4000
90,86,87300,10,0.003,3,10,11.469,1.957,2.388,14.163,5.163,19.326,4000
91,,87300,10,0.003,3,15,10.616,1.276,1.639,13.132,4.866,17.997,4000
92,101,87300,10,0.003,6,15,18.358,1.478,1.845,13.553,10.65,24.203,4000
93,108,87300,10,0.002,5,5,29.146,1.499,1.79,11.988,22.209,34.197,4000
94,120,87300,10,0.006,5,5,16.039,1.242,1.55,9.801,11.074,20.875,4000
95,14,87300,20,0.005,4,20,16.18,1.381,1.67,12.34,10.177,22.517,4000
96,32,87300,20,0.005,2,20,9.49,1.189,1.528,9.785,5.629,15.414,4000
97,31,87300,50,0.004,2,10,22.239,2.23,2.866,18.032,14.963,32.995,4000
98,36,87300,50,0.003,3,1,67.008,1.648,2.106,12.177,59.294,71.471,4000
99,50,87300,50,0.006,6,10,46.287,4.093,4.727,19.327,37.939,57.266,4000
100,71,87300,50,0.005,5,1,64.035,1.368,1.636,10.397,59.184,69.582,4000
101,112,87300,50,0.003,4,15,43.789,1.981,2.555,19.63,32.296,51.926,4000
102,119,87300,50,0.005,3,5,40.507,1.544,1.895,11.961,34.598,46.559,4000
103,1,87300,50,0.006,5,10,38.122,4,4.788,22.387,30.981,53.369,4000
104,41,116200,2,0.003,3,1,16.88,1.279,1.551,10.98,11.436,22.416,6000
105,51,116200,2,0.005,6,20,0.716,1.462,1.816,11.054,-3.356,7.698,6000
106,,116200,2,0.005,6,20,1.095,2.082,2.509,15.064,-4.722,10.342,6000
107,67,116200,2,0.002,5,1,0.123,1.182,1.573,13.423,-4.527,8.895,6000
108,79,116200,2,0.005,4,15,19.85,2.949,3.381,16.706,11.22,27.925,6000
109,96,116200,2,0.004,2,10,0.238,1.372,1.806,15.431,-5.182,10.249,6000
110,102,116200,2,0.004,5,10,-0.122,0.869,1.146,8.986,-3.646,5.339,6000
111,103,116200,2,0.004,2,5,,,,,,,6000
112,,116200,2,0.002,5,10,7.326,1.43,1.715,10.163,1.977,12.141,6000
113,28,116200,5,0.002,5,10,12.892,1.736,2.052,12.878,6.602,19.48,6000
114,58,116200,5,0.003,2,5,7.677,1.351,1.596,8.094,4.62,12.713,6000
115,88,116200,5,0.006,2,10,1.215,2.365,2.891,17.39,-5.762,11.628,6000
116,98,116200,5,0.005,4,10,6.759,1.745,2.042,9.627,1.868,11.495,6000
117,111,116200,5,0.002,6,1,32.475,2.918,3.473,19.878,22.284,42.163,6000
118,116,116200,5,0.005,2,10,1.468,1.56,1.88,12.306,-2.527,9.779,6000
119,2,116200,10,0.003,5,15,17.396,1.711,2.142,14.799,10.718,25.517,6000
120,109,116200,10,0.006,3,20,7.137,1.255,1.543,10.409,2.857,13.267,6000
121,117,116200,10,0.004,4,5,15.558,1.71,2.064,12.311,9.442,21.752,6000
122,7,116200,20,0.002,6,5,35.552,2.82,3.756,23.21,20.604,43.815,6000
123,15,116200,20,0.006,2,15,7.554,1.067,1.414,12.745,3.293,16.038,6000
124,35,116200,20,0.002,5,15,30.801,1.728,2.158,14.664,22.22,36.884,6000
125,48,116200,20,0.002,3,20,19.124,2.284,2.655,14.59,12.158,26.748,6000
126,87,116200,20,0.005,5,5,22.572,2.68,3.205,17.056,13.643,30.7,6000
127,19,116200,50,0.003,4,15,42.458,2.43,2.989,15.88,35.758,51.638,6000
128,73,116200,50,0.002,2,1,53.586,1.952,2.391,16.494,45.598,62.092,6000
129,92,116200,50,0.004,6,1,60.953,2.15,2.65,19.114,53.472,72.586,6000
