source,group,center_x_um,center_y_um,area_um2,median_depth_um,p10_depth_um,max_depth_um,erode_px,inner_px,valid_fraction
60Pass组.cag,MeasureData20260528104251,137.6082,240.0652,40611.6036,-5.4017,-14.2864,-27.0285,20.0000,280665,1.0000
60Pass组.cag,MeasureData20260528104251,447.5407,67.7210,585.2898,-4.3854,-6.0143,-8.4758,0.0000,4941,1.0000
60Pass组.cag,MeasureData20260528104457,170.9065,241.4284,37359.6381,-6.6824,-9.6245,-13.0913,20.0000,246119,1.0000
60Pass组.cag,MeasureData20260528104457,568.7437,330.4052,3692.6209,-7.3202,-9.9602,-14.4704,20.0000,4771,1.0000
60Pass组.cag,MeasureData20260528104457,571.1621,147.9865,2851.5851,-5.6121,-6.4517,-7.6023,20.0000,529,1.0000
60Pass组.cag,MeasureData20260528104659,549.5564,240.6386,39264.1695,-4.9756,-7.7994,-11.2428,20.0000,257022,1.0000
60Pass组.cag,MeasureData20260528104659,147.0445,319.6610,9930.1449,-5.5023,-8.2723,-13.6359,20.0000,28387,1.0000
60Pass组.cag,MeasureData20260528104659,146.9473,168.5469,9592.0722,-6.2410,-9.5874,-12.8585,20.0000,35763,1.0000
60Pass组.cag,MeasureData20260528104834,160.0259,265.0649,38201.2661,-10.6406,-14.4778,-17.8406,20.0000,248338,1.0000
60Pass组.cag,MeasureData20260528104834,591.0089,333.4423,9352.3178,-5.2006,-10.8125,-17.6403,20.0000,43381,1.0000
60Pass组.cag,MeasureData20260528104834,576.6447,181.3811,6980.3600,-5.3815,-7.9409,-12.0224,20.0000,28202,1.0000
60Pass组.cag,MeasureData20260528104947,554.1581,253.3680,40637.5454,-4.9591,-9.8031,-21.4120,20.0000,262169,1.0000
60Pass组.cag,MeasureData20260528104947,153.5321,254.0428,40059.9552,-7.5071,-11.5563,-15.9570,20.0000,258081,1.0000
